Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD),GPU Link
GeForce 840A,1123,1156,NA,NA,video_lookup.php?gpu=GeForce+840A&id=3045
GeForce 840M,1096,1168,NA,NA,video_lookup.php?gpu=GeForce+840M&id=2873
GeForce 845M,1488,1033,NA,NA,video_lookup.php?gpu=GeForce+845M&id=3126
GeForce 8500 GT,149,2072,NA,NA,video_lookup.php?gpu=GeForce+8500+GT&id=1270
GeForce 8600 GS,91,2240,NA,NA,video_lookup.php?gpu=GeForce+8600+GS&id=1272
GeForce 8600 GT,131,2121,0.67,$196.00*,video_lookup.php?gpu=GeForce+8600+GT&id=64
GeForce 8600 GTS,170,2045,0.71,$241.99*,video_lookup.php?gpu=GeForce+8600+GTS&id=118
GeForce 8600M GS,88,2248,NA,NA,video_lookup.php?gpu=GeForce+8600M+GS&id=1274
GeForce 8600M GT,112,2178,1.04,$108.10*,video_lookup.php?gpu=GeForce+8600M+GT&id=1275
GeForce 8700M GT,124,2140,NA,NA,video_lookup.php?gpu=GeForce+8700M+GT&id=1276
